StartupName,FoundedYear,Country,Industry,FundingStage,TotalFunding($M),NumberofEmployees,AnnualRevenue($M),Valuation($B),SuccessScore,Acquired?,IPO?,CustomerBase(Millions),TechStack,SocialMediaFollowers,,Management focus,Revenue Per Employee,Company Tier,,,
Startup_149,2020,Japan,EdTech,SeriesA, $430 ,1540," $904,000,000 ", $19.06 ,4,Yes,No,47,"Node.js,React",3876927,,Scalability," 587,013 ",Decacorn,,,
Startup_150,2004,France,EdTech,Seed, $57 ,1254," $987,000,000 ", $48.06 ,8,Yes,No,43,"Node.js,React",2729834,,Product-Market Fit," 787,081 ",Decacorn,,,
Startup_151,2003,Japan,Logistics,SeriesC, $445 ,4501," $613,000,000 ", $23.86 ,2,Yes,Yes,23,"Java,Spring",1851386,,Efficiency & Profit," 136,192 ",Decacorn,,,
Startup_152,2020,France,Energy,SeriesA, $406 ,2164," $527,000,000 ", $10.12 ,4,Yes,Yes,12,"Java,Spring",2740579,,Scalability," 243,530 ",Decacorn,,,
Startup_153,2002,Brazil,Healthcare,SeriesB, $473 ,3409," $743,000,000 ", $16.28 ,8,Yes,Yes,27,"Node.js,React",3089571,,Market Expansion," 217,952 ",Decacorn,,,
Startup_154,2020,India,AI,SeriesC, $350 ,3486," $943,000,000 ", $30.96 ,6,No,No,73,"Node.js,React",3304564,,Efficiency & Profit," 270,511 ",Decacorn,,,
Startup_155,2012,Brazil,E-commerce,SeriesA, $163 ,2202," $198,000,000 ", $27.72 ,7,Yes,Yes,50,"Node.js,React",2624542,,Scalability," 89,918 ",Decacorn,,,
Startup_156,2007,Brazil,EdTech,SeriesA, $126 ,44," $565,000,000 ", $28.02 ,3,No,Yes,49,"Python,AI",2370350,,Scalability," 12,840,909 ",Decacorn,,,
Startup_157,2005,Brazil,Tech,SeriesB, $299 ,4027," $587,000,000 ", $16.37 ,2,No,No,68,"C++,ML",194605,,Market Expansion," 145,766 ",Decacorn,,,
Startup_158,2008,Japan,FinTech,SeriesC, $494 ,3383," $691,000,000 ", $43.44 ,5,Yes,No,88,"Java,Spring",470209,,Efficiency & Profit," 204,257 ",Decacorn,,,
Startup_159,2000,Canada,Logistics,IPO, $240 ,908," $263,000,000 ", $40.00 ,7,Yes,No,70,"Java,Spring",4410115,,Shareholder Value," 289,648 ",Decacorn,,,
Startup_160,2019,USA,Healthcare,SeriesC, $128 ,3354," $738,000,000 ", $2.47 ,3,No,No,59,"PHP,Laravel",546336,,Efficiency & Profit," 220,036 ",Unicorn,,,
Startup_161,2004,France,FinTech,SeriesB, $46 ,2988," $73,000,000 ", $15.77 ,1,No,Yes,19,"C++,ML",602195,,Market Expansion," 24,431 ",Decacorn,,,
Startup_162,2006,Japan,FinTech,SeriesA, $229 ,2598," $647,000,000 ", $49.47 ,8,No,Yes,41,"Node.js,React",3704873,,Scalability," 249,038 ",Decacorn,,,
Startup_163,2021,Australia,Tech,SeriesC, $357 ,2815," $21,000,000 ", $4.14 ,6,No,Yes,49,"Node.js,React",1108822,,Efficiency & Profit," 7,460 ",Unicorn,,,
Startup_164,2001,India,Healthcare,SeriesA, $215 ,4592," $686,000,000 ", $14.79 ,7,No,Yes,12,"Java,Spring",3402996,,Scalability," 149,390 ",Decacorn,,,
Startup_165,2006,UK,EdTech,SeriesB, $244 ,4436," $773,000,000 ", $31.59 ,3,No,No,36,"C++,ML",1658058,,Market Expansion," 174,256 ",Decacorn,,,
Startup_166,2002,Canada,E-commerce,SeriesB, $140 ,3247," $477,000,000 ", $42.06 ,1,No,Yes,46,"Node.js,React",4628086,,Market Expansion," 146,905 ",Decacorn,,,
Startup_167,2016,Australia,EdTech,SeriesC, $180 ,4978," $847,000,000 ", $17.88 ,2,No,No,75,"C++,ML",1895607,,Efficiency & Profit," 170,149 ",Decacorn,,,
Startup_168,2013,France,Gaming,SeriesC, $372 ,1562," $224,000,000 ", $20.24 ,6,No,Yes,95,"Python,AI",94813,,Efficiency & Profit," 143,406 ",Decacorn,,,
Startup_169,2011,USA,Logistics,SeriesC, $394 ,402," $755,000,000 ", $10.14 ,2,No,Yes,53,"Python,AI",3451715,,Efficiency & Profit," 1,878,109 ",Decacorn,,,
Startup_170,2007,France,FoodTech,SeriesC, $54 ,1121," $32,000,000 ", $37.74 ,1,No,No,95,"Python,AI",3333244,,Efficiency & Profit," 28,546 ",Decacorn,,,
Startup_171,2022,Canada,Healthcare,SeriesA, $317 ,2579," $419,000,000 ", $46.34 ,1,Yes,Yes,87,"Python,AI",1432138,,Scalability," 162,466 ",Decacorn,,,
Startup_172,2004,Brazil,AI,SeriesB, $294 ,4201," $694,000,000 ", $6.06 ,8,Yes,Yes,38,"C++,ML",981890,,Market Expansion," 165,199 ",Unicorn,,,
Startup_173,2016,China,Energy,IPO, $347 ,826," $829,000,000 ", $0.20 ,7,No,Yes,27,"Python,AI",1353910,,Shareholder Value," 1,003,632 ",Growth,,,
Startup_174,2011,Brazil,Healthcare,IPO, $393 ,4833," $678,000,000 ", $36.18 ,5,Yes,Yes,64,"Node.js,React",2930602,,Shareholder Value," 140,286 ",Decacorn,,,
Startup_175,2022,Canada,FoodTech,Seed, $51 ,4772," $87,000,000 ", $23.23 ,2,Yes,No,30,"PHP,Laravel",2385988,,Product-Market Fit," 18,231 ",Decacorn,,,
Startup_176,2010,Japan,EdTech,SeriesC, $23 ,3615," $906,000,000 ", $20.88 ,9,Yes,Yes,38,"Python,AI",3831104,,Efficiency & Profit," 250,622 ",Decacorn,,,
Startup_177,2012,UK,Tech,SeriesB, $466 ,1905," $230,000,000 ", $39.98 ,9,No,Yes,73,"Node.js,React",2311063,,Market Expansion," 120,735 ",Decacorn,,,
Startup_178,2022,UK,Healthcare,SeriesC, $237 ,1337," $496,000,000 ", $42.06 ,7,No,No,34,"Python,AI",3103221,,Efficiency & Profit," 370,980 ",Decacorn,,,
Startup_179,2002,Germany,E-commerce,SeriesC, $314 ,1671," $452,000,000 ", $19.61 ,2,Yes,Yes,87,"Java,Spring",470469,,Efficiency & Profit," 270,497 ",Decacorn,,,
Startup_180,2001,Canada,FoodTech,SeriesC, $327 ,3978," $652,000,000 ", $46.79 ,1,No,Yes,27,"PHP,Laravel",3571163,,Efficiency & Profit," 163,901 ",Decacorn,,,
Startup_181,2009,Canada,Energy,SeriesC, $96 ,98," $628,000,000 ", $46.18 ,9,No,No,63,"Node.js,React",4639187,,Efficiency & Profit," 6,408,163 ",Decacorn,,,
Startup_182,2008,India,Healthcare,SeriesC, $28 ,376," $448,000,000 ", $38.69 ,8,Yes,Yes,8,"Python,AI",3676233,,Efficiency & Profit," 1,191,489 ",Decacorn,,,
Startup_183,2022,Brazil,Energy,IPO, $59 ,4022," $489,000,000 ", $33.49 ,1,Yes,No,14,"PHP,Laravel",27043,,Shareholder Value," 121,581 ",Decacorn,,,
Startup_184,2011,Australia,Logistics,SeriesA, $161 ,2672," $527,000,000 ", $16.90 ,8,No,No,95,"PHP,Laravel",1148582,,Scalability," 197,231 ",Decacorn,,,
Startup_185,2003,France,FinTech,SeriesB, $393 ,3856," $893,000,000 ", $12.65 ,6,Yes,Yes,21,"PHP,Laravel",3385632,,Market Expansion," 231,587 ",Decacorn,,,
Startup_186,2015,Japan,Gaming,SeriesC, $415 ,853," $660,000,000 ", $13.48 ,4,Yes,No,6,"Java,Spring",4387759,,Efficiency & Profit," 773,740 ",Decacorn,,,
Startup_187,2014,UK,Healthcare,SeriesB, $405 ,2393," $786,000,000 ", $5.43 ,5,No,Yes,90,"C++,ML",2501763,,Market Expansion," 328,458 ",Unicorn,,,
Startup_188,2005,Japan,AI,Seed, $364 ,4205," $741,000,000 ", $41.43 ,7,Yes,No,40,"Java,Spring",3349891,,Product-Market Fit," 176,219 ",Decacorn,,,
Startup_189,2017,Japan,FoodTech,Seed, $175 ,3220," $232,000,000 ", $10.84 ,3,Yes,No,58,"Java,Spring",588246,,Product-Market Fit," 72,050 ",Decacorn,,,
Startup_190,2011,Australia,Gaming,SeriesA, $414 ,243," $451,000,000 ", $15.90 ,6,Yes,No,96,"C++,ML",4904518,,Scalability," 1,855,967 ",Decacorn,,,
Startup_191,2008,Australia,FoodTech,SeriesA, $379 ,3557," $433,000,000 ", $35.38 ,8,Yes,No,30,"C++,ML",4408950,,Scalability," 121,732 ",Decacorn,,,
Startup_192,2006,Brazil,AI,SeriesB, $224 ,2336," $295,000,000 ", $9.25 ,9,Yes,No,74,"Node.js,React",2787145,,Market Expansion," 126,284 ",Unicorn,,,
Startup_193,2015,Canada,Gaming,Seed, $70 ,72," $25,000,000 ", $29.31 ,2,Yes,Yes,12,"Python,AI",1092921,,Product-Market Fit," 347,222 ",Decacorn,,,
Startup_194,2014,India,Tech,SeriesA, $287 ,1412," $955,000,000 ", $12.45 ,8,No,Yes,64,"Python,AI",2840093,,Scalability," 676,346 ",Decacorn,,,
Startup_195,2006,India,Healthcare,SeriesB, $490 ,980," $519,000,000 ", $30.82 ,1,Yes,Yes,16,"Node.js,React",4231540,,Market Expansion," 529,592 ",Decacorn,,,
Startup_196,2008,Canada,Logistics,SeriesB, $329 ,2991," $496,000,000 ", $15.74 ,2,Yes,Yes,14,"Java,Spring",2164738,,Market Expansion," 165,831 ",Decacorn,,,
Startup_197,2016,Japan,Logistics,SeriesC, $280 ,1001," $486,000,000 ", $45.14 ,8,Yes,No,67,"Java,Spring",4361226,,Efficiency & Profit," 485,514 ",Decacorn,,,
Startup_198,2001,India,Tech,IPO, $258 ,2742," $431,000,000 ", $1.64 ,2,No,No,56,"PHP,Laravel",878466,,Shareholder Value," 157,185 ",Unicorn,,,
